origin,destination,distance_km,duration_min,time_of_day,hour,weather,day_type,traffic,service_type,price
Charminar,Film Nagar,10.65,23,Evening,20,Clear,Weekday,Light,Economy,156
Miyapur,Banjara Hills,14.9,65,Morning,8,Thunderstorm,Weekday,Heavy,Premium,814
Mehdipatnam,Ameerpet,6.16,20,Afternoon,15,Clear,Weekend,Moderate,Standard,157
Inorbit Mall,Dilsukhnagar,21.25,90,Evening,18,Clear,Weekday,Heavy,Economy,547
Secunderabad,Dilsukhnagar,10.89,31,Afternoon,14,Clear,Weekday,Moderate,Standard,210
Jubilee Hills,Lingampally,15.83,68,Evening,20,Cloudy,Weekday,Heavy,Premium,499
Botanical Garden,Hitech City,2.28,9,Afternoon,13,Clear,Weekday,Light,Economy,59
Miyapur,Lingampally,7.79,36,Afternoon,16,Rainy,Weekday,Heavy,Premium,341
Tank Bund,Financial District,18.08,36,Afternoon,13,Clear,Weekday,Light,Economy,246
Dilsukhnagar,Jubilee Hills,18.07,36,Night,21,Clear,Weekday,Light,Premium,385
Ameerpet,Gachibowli,13.41,37,Afternoon,15,Clear,Weekend,Moderate,Standard,284
Golconda Fort,Botanical Garden,10.02,22,Morning,5,Thunderstorm,Weekend,Light,Standard,267
Charminar,Inorbit Mall,16.08,33,Morning,11,Clear,Weekday,Light,Economy,216
Miyapur,Lakdikapul,18.11,77,Evening,17,Cloudy,Weekday,Heavy,Economy,510
Golconda Fort,Madhapur,9.39,43,Morning,7,Rainy,Weekday,Heavy,Economy,322
LB Nagar,Gachibowli,31.47,81,Evening,17,Clear,Weekday,Moderate,Standard,700
Banjara Hills,Shamshabad Airport,25.34,66,Morning,7,Thunderstorm,Weekday,Moderate,Economy,633
Jubilee Hills,Charminar,12.96,27,Afternoon,12,Light Rain,Weekday,Light,Economy,218
Abids,Jubilee Hills,10.4,30,Morning,7,Clear,Weekday,Moderate,Standard,243
Charminar,Inorbit Mall,16.08,69,Morning,11,Clear,Weekend,Heavy,Premium,547
Secunderabad,Golconda Fort,15.71,68,Evening,18,Clear,Weekday,Heavy,Premium,618
Charminar,Botanical Garden,17.36,74,Morning,7,Rainy,Weekday,Heavy,Economy,520
Miyapur,Botanical Garden,7.72,18,Morning,6,Clear,Weekday,Light,Premium,182
LB Nagar,Kukatpally,28.39,54,Afternoon,13,Cloudy,Weekday,Light,Standard,466
Paradise Circle,Golconda Fort,15.43,42,Afternoon,12,Clear,Weekend,Moderate,Economy,290
Abids,Secunderabad,7.49,35,Evening,17,Clear,Weekday,Heavy,Economy,220
Lingampally,Abids,26.08,68,Morning,10,Clear,Weekend,Moderate,Premium,690
Tank Bund,Dilsukhnagar,10.57,47,Evening,18,Clear,Weekday,Heavy,Economy,302
Film Nagar,Jubilee Hills,2.37,9,Afternoon,16,Cloudy,Weekday,Light,Economy,59
Golconda Fort,Lakdikapul,7.88,19,Afternoon,13,Clear,Weekend,Light,Economy,138
Koti,Kukatpally,17.71,35,Morning,8,Thunderstorm,Holiday,Light,Economy,507
Ameerpet,Abids,7.55,35,Evening,18,Rainy,Weekday,Heavy,Economy,269
Film Nagar,Paradise Circle,11.63,52,Morning,9,Cloudy,Weekday,Heavy,Premium,474
Film Nagar,Uppal,19.54,52,Morning,7,Clear,Weekday,Moderate,Standard,457
Gachibowli,Botanical Garden,6.19,16,Evening,17,Cloudy,Holiday,Light,Premium,273
Gachibowli,Hitech City,3.91,21,Evening,17,Clear,Weekday,Heavy,Premium,224
Shamshabad Airport,Lakdikapul,23.92,46,Evening,20,Rainy,Weekday,Light,Standard,441
Ameerpet,Dilsukhnagar,14.66,64,Morning,7,Clear,Weekday,Heavy,Economy,350
Dilsukhnagar,Paradise Circle,11.31,24,Morning,7,Clear,Weekend,Light,Standard,249
Kukatpally,Shamshabad Airport,35.47,90,Evening,18,Thunderstorm,Weekend,Moderate,Standard,1276
Shamshabad Airport,Mehdipatnam,22.4,59,Evening,20,Clear,Weekday,Moderate,Economy,350
Lakdikapul,Banjara Hills,3.58,19,Evening,18,Cloudy,Weekday,Heavy,Standard,167
Financial District,Shamshabad Airport,27.83,53,Afternoon,15,Cloudy,Weekday,Light,Standard,424
Lakdikapul,Secunderabad,8.02,19,Morning,10,Clear,Weekday,Light,Standard,147
Banjara Hills,Tank Bund,6.03,19,Morning,9,Clear,Weekend,Moderate,Standard,180
Golconda Fort,Botanical Garden,10.02,29,Evening,17,Clear,Weekend,Moderate,Economy,243
Koti,Lingampally,27.39,71,Morning,10,Rainy,Weekday,Moderate,Standard,646
Shamshabad Airport,Miyapur,38.65,160,Evening,18,Cloudy,Weekday,Heavy,Economy,1007
Dilsukhnagar,Shamshabad Airport,22.77,44,Night,4,Clear,Weekday,Light,Standard,430
Financial District,Banjara Hills,12.11,34,Afternoon,12,Clear,Weekday,Moderate,Economy,204
Koti,Charminar,3.07,10,Morning,10,Clear,Weekend,Light,Standard,84
Gachibowli,Secunderabad,20.6,87,Morning,9,Rainy,Weekday,Heavy,Standard,694
Tank Bund,Madhapur,11.81,25,Afternoon,16,Thunderstorm,Weekday,Light,Standard,270
Film Nagar,Mehdipatnam,3.95,14,Morning,8,Clear,Weekend,Moderate,Economy,123
Dilsukhnagar,Hitech City,23.42,99,Morning,5,Clear,Weekday,Heavy,Premium,688
Uppal,Miyapur,29.25,75,Morning,5,Thunderstorm,Weekday,Moderate,Premium,982
Hitech City,Lakdikapul,12.41,26,Afternoon,13,Cloudy,Weekday,Light,Premium,277
Financial District,Kukatpally,13.65,38,Night,0,Light Rain,Weekday,Moderate,Standard,367
Film Nagar,Botanical Garden,6.93,17,Night,4,Clear,Weekday,Light,Economy,129
Koti,Charminar,3.07,17,Morning,7,Clear,Weekday,Heavy,Premium,174
Charminar,Madhapur,16.88,34,Afternoon,12,Clear,Weekday,Light,Economy,224
Kukatpally,Lingampally,12.75,27,Afternoon,12,Clear,Weekday,Light,Standard,201
Ameerpet,Secunderabad,7.21,34,Morning,9,Clear,Weekday,Heavy,Economy,196
Financial District,Gachibowli,3.81,14,Afternoon,13,Cloudy,Weekend,Moderate,Economy,105
Ameerpet,Film Nagar,5.57,27,Afternoon,13,Clear,Weekday,Heavy,Standard,166
Paradise Circle,Hitech City,16.36,33,Morning,6,Cloudy,Weekday,Light,Premium,359
Mehdipatnam,Dilsukhnagar,12.21,26,Morning,10,Cloudy,Weekday,Light,Standard,202
Charminar,Jubilee Hills,12.96,57,Evening,18,Rainy,Weekday,Heavy,Standard,505
Lingampally,KPHB,10.33,23,Afternoon,13,Clear,Weekday,Light,Premium,240
Dilsukhnagar,Lakdikapul,11.01,31,Afternoon,14,Light Rain,Weekday,Moderate,Standard,258
Kukatpally,Tank Bund,12.6,27,Evening,19,Clear,Weekend,Light,Premium,373
Financial District,Ameerpet,14.59,40,Morning,11,Cloudy,Weekend,Moderate,Economy,264
Mehdipatnam,Dilsukhnagar,12.21,26,Afternoon,13,Clear,Weekday,Light,Economy,174
Dilsukhnagar,Mehdipatnam,12.21,34,Evening,18,Cloudy,Weekday,Moderate,Economy,274
Lingampally,Jubilee Hills,15.83,32,Afternoon,15,Thunderstorm,Weekday,Light,Standard,352
Financial District,Koti,19.32,51,Afternoon,16,Rainy,Weekday,Moderate,Economy,394
Lakdikapul,Dilsukhnagar,11.01,24,Afternoon,14,Cloudy,Weekday,Light,Standard,186
Inorbit Mall,Gachibowli,5.32,14,Afternoon,12,Clear,Weekend,Light,Premium,160
Kukatpally,Koti,17.71,76,Evening,18,Clear,Weekday,Heavy,Standard,517
Madhapur,Mehdipatnam,10.15,29,Afternoon,14,Clear,Weekday,Moderate,Economy,170
LB Nagar,Mehdipatnam,17.26,35,Afternoon,13,Clear,Weekday,Light,Economy,234
Jubilee Hills,Lakdikapul,7.06,22,Morning,6,Thunderstorm,Weekday,Moderate,Premium,285
Shamshabad Airport,Golconda Fort,21.04,55,Morning,7,Cloudy,Holiday,Moderate,Economy,542
Botanical Garden,Abids,14.31,62,Afternoon,15,Clear,Weekend,Heavy,Premium,486
Botanical Garden,Golconda Fort,10.02,45,Evening,18,Clear,Weekday,Heavy,Premium,436
Paradise Circle,Miyapur,19.03,51,Morning,10,Cloudy,Weekday,Moderate,Economy,313
Mehdipatnam,Madhapur,10.15,22,Afternoon,15,Thunderstorm,Weekday,Light,Standard,232
Abids,Golconda Fort,10.32,30,Afternoon,14,Clear,Weekend,Moderate,Standard,235
Mehdipatnam,Financial District,13.72,60,Evening,17,Clear,Weekday,Heavy,Economy,370
Ameerpet,Koti,9.14,42,Morning,9,Clear,Weekday,Heavy,Economy,235
Hitech City,Golconda Fort,9.88,22,Afternoon,13,Clear,Weekend,Light,Economy,156
Botanical Garden,Paradise Circle,14.24,29,Afternoon,12,Clear,Weekday,Light,Economy,190
Koti,Charminar,3.07,17,Morning,7,Clear,Weekend,Heavy,Standard,144
Begumpet,Dilsukhnagar,13.92,61,Morning,7,Clear,Weekday,Heavy,Economy,346
Paradise Circle,Ameerpet,6.73,32,Morning,8,Cloudy,Weekday,Heavy,Premium,302
Kukatpally,Charminar,20.01,39,Afternoon,13,Clear,Weekday,Light,Economy,275
Koti,Inorbit Mall,14.79,40,Morning,10,Light Rain,Weekday,Moderate,Economy,280
KPHB,Abids,18.53,49,Evening,18,Clear,Weekday,Moderate,Standard,440
Mehdipatnam,Inorbit Mall,9.37,27,Morning,7,Clear,Weekday,Moderate,Premium,308
Banjara Hills,Lakdikapul,3.58,11,Afternoon,14,Clear,Holiday,Light,Premium,138
Dilsukhnagar,Begumpet,13.92,29,Afternoon,15,Rainy,Weekday,Light,Standard,275
Jubilee Hills,Secunderabad,12.79,27,Morning,5,Clear,Weekend,Light,Premium,294
Madhapur,Paradise Circle,14.19,39,Afternoon,15,Rainy,Weekend,Moderate,Premium,508
Golconda Fort,Ameerpet,9.96,22,Night,3,Clear,Weekday,Light,Premium,281
Begumpet,Lingampally,21.15,56,Evening,18,Rainy,Weekday,Moderate,Premium,790
Charminar,Lingampally,28.76,54,Evening,18,Clear,Weekend,Light,Standard,607
Madhapur,Gachibowli,6.04,29,Evening,17,Clear,Weekday,Heavy,Premium,286
Jubilee Hills,LB Nagar,23.25,45,Night,22,Clear,Weekend,Light,Premium,604
Hitech City,Koti,17.02,34,Afternoon,12,Cloudy,Weekday,Light,Standard,281
Ameerpet,Inorbit Mall,8.14,38,Evening,19,Clear,Weekday,Heavy,Premium,360
Uppal,KPHB,26.29,68,Morning,7,Clear,Weekday,Moderate,Economy,480
Madhapur,Secunderabad,14.7,40,Evening,19,Clear,Weekend,Moderate,Economy,332
Ameerpet,Paradise Circle,6.73,17,Morning,5,Cloudy,Weekend,Light,Economy,122
Paradise Circle,Hitech City,16.36,44,Afternoon,16,Clear,Weekend,Moderate,Premium,456
Secunderabad,Charminar,11.78,25,Evening,17,Clear,Weekend,Light,Standard,277
Charminar,Shamshabad Airport,18.62,37,Morning,5,Clear,Weekend,Light,Standard,316
Paradise Circle,Ameerpet,6.73,32,Morning,10,Clear,Weekday,Heavy,Standard,183
Ameerpet,Jubilee Hills,5.71,19,Morning,7,Rainy,Weekday,Moderate,Premium,252
Hitech City,Kukatpally,7.04,17,Afternoon,12,Clear,Weekday,Light,Standard,133
Koti,Charminar,3.07,17,Evening,18,Cloudy,Weekday,Heavy,Economy,132
Ameerpet,Shamshabad Airport,28.56,54,Afternoon,16,Clear,Weekday,Light,Economy,354
Kukatpally,Dilsukhnagar,23.17,98,Evening,20,Cloudy,Weekday,Heavy,Premium,715
Jubilee Hills,Ameerpet,5.71,19,Afternoon,12,Clear,Weekday,Moderate,Standard,138
Abids,Jubilee Hills,10.4,47,Morning,8,Clear,Weekday,Heavy,Standard,320
Tank Bund,Ameerpet,4.3,15,Night,2,Clear,Weekday,Moderate,Premium,169
Lakdikapul,Mehdipatnam,2.28,9,Afternoon,15,Clear,Weekday,Light,Economy,59
Ameerpet,Lakdikapul,4.9,25,Morning,7,Cloudy,Weekday,Heavy,Standard,186
KPHB,Miyapur,2.97,10,Morning,11,Cloudy,Weekend,Light,Premium,114
Madhapur,Miyapur,8.32,25,Afternoon,12,Clear,Weekday,Moderate,Standard,174
Ameerpet,LB Nagar,19.92,39,Afternoon,12,Clear,Weekday,Light,Standard,312
Lingampally,Film Nagar,18.11,48,Afternoon,13,Clear,Weekend,Moderate,Economy,314
LB Nagar,Koti,11.67,25,Afternoon,14,Rainy,Weekday,Light,Economy,211
Secunderabad,Botanical Garden,14.76,64,Morning,9,Cloudy,Weekday,Heavy,Premium,594
Secunderabad,Botanical Garden,14.76,40,Afternoon,15,Clear,Weekday,Moderate,Standard,286
Miyapur,Film Nagar,14.61,63,Evening,17,Thunderstorm,Weekday,Heavy,Premium,833
Shamshabad Airport,Tank Bund,27.2,52,Afternoon,14,Cloudy,Weekday,Light,Premium,572
Banjara Hills,Golconda Fort,6.22,16,Afternoon,16,Cloudy,Weekday,Light,Premium,172
Jubilee Hills,Ameerpet,5.71,19,Night,1,Light Rain,Weekday,Moderate,Economy,166
Charminar,Gachibowli,20.73,55,Afternoon,13,Clear,Weekend,Moderate,Premium,576
Film Nagar,Golconda Fort,4.5,13,Evening,17,Clear,Weekend,Light,Economy,113
Shamshabad Airport,Golconda Fort,21.04,89,Evening,19,Clear,Weekday,Heavy,Economy,507
Gachibowli,Jubilee Hills,8.36,19,Afternoon,14,Clear,Weekday,Light,Standard,146
Lingampally,LB Nagar,38.96,161,Evening,18,Cloudy,Weekday,Heavy,Standard,1219
Tank Bund,Film Nagar,8.06,19,Evening,19,Clear,Weekend,Light,Premium,277
Madhapur,Dilsukhnagar,21.56,57,Afternoon,15,Cloudy,Weekday,Moderate,Economy,344
Charminar,Gachibowli,20.73,88,Morning,8,Clear,Weekday,Heavy,Economy,504
Dilsukhnagar,Inorbit Mall,21.25,90,Evening,19,Clear,Weekday,Heavy,Standard,617
LB Nagar,Dilsukhnagar,5.27,18,Afternoon,16,Cloudy,Weekday,Moderate,Premium,173
Dilsukhnagar,Shamshabad Airport,22.77,96,Morning,6,Clear,Weekday,Heavy,Premium,706
Botanical Garden,Ameerpet,7.77,36,Morning,7,Clear,Weekday,Heavy,Economy,218
Kukatpally,Botanical Garden,5.28,14,Evening,20,Rainy,Weekend,Light,Premium,191
LB Nagar,Begumpet,19.08,38,Evening,20,Clear,Weekday,Light,Premium,382
Secunderabad,Shamshabad Airport,30.38,78,Afternoon,13,Rainy,Weekend,Moderate,Standard,726
Charminar,Lakdikapul,6.78,21,Night,2,Rainy,Weekday,Moderate,Standard,227
Koti,Shamshabad Airport,21.66,42,Morning,10,Light Rain,Weekday,Light,Economy,324
Mehdipatnam,Begumpet,7.71,18,Morning,7,Clear,Weekend,Light,Standard,188
LB Nagar,Miyapur,33.78,63,Evening,20,Light Rain,Weekend,Light,Economy,553
Madhapur,Miyapur,8.32,25,Afternoon,14,Rainy,Weekday,Moderate,Economy,189
Secunderabad,Botanical Garden,14.76,40,Night,4,Rainy,Weekend,Moderate,Premium,608
Jubilee Hills,Golconda Fort,5.93,15,Afternoon,16,Cloudy,Weekday,Light,Standard,126
Tank Bund,Ameerpet,4.3,15,Morning,8,Clear,Weekend,Moderate,Economy,122
Paradise Circle,Ameerpet,6.73,21,Evening,19,Clear,Weekday,Moderate,Standard,197
Miyapur,Madhapur,8.32,19,Morning,7,Clear,Weekend,Light,Economy,172
Kukatpally,Jubilee Hills,8.82,40,Evening,18,Rainy,Weekday,Heavy,Standard,355
LB Nagar,Botanical Garden,27.16,114,Morning,6,Clear,Weekend,Heavy,Economy,586
Koti,Golconda Fort,10.76,48,Morning,7,Clear,Weekday,Heavy,Economy,270
Golconda Fort,Botanical Garden,10.02,45,Evening,18,Rainy,Weekday,Heavy,Standard,412
Abids,Tank Bund,4.43,16,Morning,11,Clear,Weekend,Moderate,Economy,105
Film Nagar,Uppal,19.54,38,Morning,9,Rainy,Weekend,Light,Standard,516
Dilsukhnagar,Kukatpally,23.17,45,Afternoon,15,Rainy,Weekday,Light,Standard,444
Ameerpet,Dilsukhnagar,14.66,64,Evening,17,Clear,Weekday,Heavy,Economy,388
Financial District,Inorbit Mall,6.77,17,Afternoon,15,Rainy,Weekday,Light,Standard,162
Koti,Dilsukhnagar,6.59,16,Night,1,Rainy,Weekday,Light,Standard,192
Banjara Hills,Lakdikapul,3.58,14,Morning,8,Clear,Weekday,Moderate,Premium,153
Shamshabad Airport,Dilsukhnagar,22.77,44,Afternoon,12,Cloudy,Weekday,Light,Premium,465
Gachibowli,Paradise Circle,20.11,85,Evening,19,Clear,Weekday,Heavy,Economy,489
Inorbit Mall,Golconda Fort,7.72,18,Night,23,Cloudy,Weekday,Light,Standard,186
Paradise Circle,Charminar,11.9,25,Afternoon,12,Clear,Weekday,Light,Standard,207
Begumpet,Koti,9.25,27,Afternoon,12,Rainy,Weekday,Moderate,Economy,205
Jubilee Hills,Koti,11.6,33,Afternoon,16,Rainy,Weekday,Moderate,Premium,369
Golconda Fort,Hitech City,9.88,45,Morning,9,Cloudy,Weekday,Heavy,Standard,309
Dilsukhnagar,Shamshabad Airport,22.77,44,Evening,20,Thunderstorm,Weekday,Light,Standard,481
Banjara Hills,Kukatpally,10.47,47,Evening,18,Clear,Weekday,Heavy,Economy,280
Begumpet,Lakdikapul,5.9,19,Afternoon,14,Clear,Weekend,Moderate,Standard,156
Kukatpally,Koti,17.71,35,Morning,6,Clear,Weekend,Light,Economy,264
Botanical Garden,Film Nagar,6.93,17,Evening,20,Clear,Weekday,Light,Economy,114
Dilsukhnagar,Madhapur,21.56,57,Morning,7,Clear,Weekend,Moderate,Premium,684
Uppal,Film Nagar,19.54,83,Morning,9,Clear,Weekday,Heavy,Premium,694
Golconda Fort,Abids,10.32,30,Afternoon,15,Cloudy,Weekday,Moderate,Premium,289
Lakdikapul,Kukatpally,13.23,28,Morning,6,Clear,Weekday,Light,Standard,209
Film Nagar,Madhapur,6.39,16,Morning,5,Clear,Weekend,Light,Premium,169
Madhapur,Banjara Hills,7.09,17,Afternoon,12,Clear,Weekday,Light,Premium,165
LB Nagar,Hitech City,28.63,74,Evening,17,Clear,Weekday,Moderate,Premium,832
Secunderabad,Ameerpet,7.21,17,Afternoon,13,Thunderstorm,Weekday,Light,Economy,162
Charminar,Madhapur,16.88,73,Afternoon,13,Thunderstorm,Holiday,Heavy,Economy,613
Botanical Garden,Uppal,23.93,101,Morning,9,Clear,Weekday,Heavy,Premium,875
Banjara Hills,Begumpet,5.94,19,Afternoon,12,Clear,Weekday,Moderate,Standard,138
Begumpet,Inorbit Mall,10.39,47,Morning,8,Light Rain,Weekday,Heavy,Standard,364
Koti,Paradise Circle,8.84,26,Morning,9,Rainy,Weekday,Moderate,Economy,235
Hitech City,Miyapur,7.91,19,Morning,6,Clear,Weekday,Light,Economy,122
LB Nagar,Tank Bund,15.78,68,Afternoon,13,Thunderstorm,Weekday,Heavy,Standard,520
Botanical Garden,Dilsukhnagar,21.9,93,Morning,9,Thunderstorm,Weekday,Heavy,Standard,866
Shamshabad Airport,Mehdipatnam,22.4,43,Morning,6,Light Rain,Weekend,Light,Economy,377
Gachibowli,Jubilee Hills,8.36,25,Morning,9,Clear,Weekday,Moderate,Premium,286
Gachibowli,Kukatpally,10.5,23,Afternoon,12,Clear,Weekday,Light,Economy,159
Charminar,Koti,3.07,17,Evening,18,Clear,Weekday,Heavy,Standard,135
Madhapur,Paradise Circle,14.19,62,Evening,18,Rainy,Weekday,Heavy,Premium,741
Hitech City,Kukatpally,7.04,33,Evening,18,Clear,Weekday,Heavy,Standard,261
Abids,Miyapur,21.23,56,Morning,10,Rainy,Weekend,Moderate,Economy,441
Gachibowli,Begumpet,15.58,42,Night,21,Clear,Weekend,Moderate,Economy,289
Ameerpet,KPHB,11.07,24,Morning,10,Cloudy,Weekday,Light,Economy,159
Abids,LB Nagar,12.88,27,Morning,11,Cloudy,Weekday,Light,Economy,184
Gachibowli,Inorbit Mall,5.32,26,Afternoon,14,Clear,Weekend,Heavy,Standard,169
LB Nagar,Gachibowli,31.47,131,Afternoon,16,Rainy,Weekend,Heavy,Premium,1191
Film Nagar,Lingampally,18.11,36,Morning,5,Cloudy,Weekend,Light,Economy,268
Uppal,Inorbit Mall,24.03,46,Night,23,Rainy,Weekday,Light,Premium,699
Ameerpet,Financial District,14.59,63,Evening,17,Thunderstorm,Weekday,Heavy,Economy,564
Miyapur,Shamshabad Airport,38.65,98,Morning,5,Cloudy,Weekday,Moderate,Standard,744
KPHB,Abids,18.53,49,Morning,5,Clear,Weekday,Moderate,Standard,353
Abids,Madhapur,13.94,61,Morning,8,Rainy,Weekday,Heavy,Premium,641
Shamshabad Airport,Ameerpet,28.56,54,Night,4,Clear,Weekday,Light,Standard,532
Koti,KPHB,20.07,85,Morning,7,Clear,Weekday,Heavy,Standard,560
LB Nagar,Dilsukhnagar,5.27,14,Morning,7,Clear,Weekend,Light,Economy,124
Gachibowli,Film Nagar,10.32,46,Morning,11,Clear,Weekday,Heavy,Economy,231
Tank Bund,Shamshabad Airport,27.2,52,Morning,6,Clear,Weekend,Light,Standard,450
Uppal,Madhapur,23.76,62,Evening,18,Clear,Weekend,Moderate,Premium,844
Tank Bund,Lingampally,23.78,46,Afternoon,13,Clear,Weekday,Light,Economy,292
Begumpet,Jubilee Hills,8.09,19,Afternoon,16,Clear,Weekday,Light,Economy,120
Shamshabad Airport,Paradise Circle,30.48,57,Morning,5,Clear,Weekday,Light,Standard,451
Kukatpally,LB Nagar,28.39,54,Afternoon,16,Cloudy,Weekday,Light,Standard,465
Kukatpally,Dilsukhnagar,23.17,61,Evening,18,Clear,Weekend,Moderate,Standard,619
Abids,Dilsukhnagar,7.67,36,Morning,8,Clear,Weekday,Heavy,Standard,259
Financial District,Inorbit Mall,6.77,21,Evening,17,Clear,Weekday,Moderate,Standard,204
Hitech City,Begumpet,11.81,52,Morning,7,Rainy,Weekday,Heavy,Premium,577
Financial District,Lingampally,11.72,33,Night,1,Rainy,Weekday,Moderate,Premium,437
Inorbit Mall,Botanical Garden,2.56,11,Afternoon,13,Cloudy,Weekday,Moderate,Premium,108
Madhapur,Banjara Hills,7.09,17,Afternoon,12,Clear,Weekday,Light,Standard,136
Begumpet,Charminar,12.07,53,Morning,7,Clear,Weekday,Heavy,Premium,481
Abids,Banjara Hills,6.93,17,Evening,20,Clear,Weekend,Light,Standard,140
Lingampally,Uppal,35.59,66,Afternoon,15,Cloudy,Weekday,Light,Standard,522
Ameerpet,Begumpet,2.39,9,Night,2,Clear,Weekday,Light,Economy,68
Tank Bund,KPHB,15.18,41,Morning,8,Thunderstorm,Weekday,Moderate,Standard,494
Botanical Garden,Miyapur,7.72,24,Night,4,Clear,Weekend,Moderate,Premium,283
Abids,Hitech City,15.76,32,Afternoon,13,Thunderstorm,Weekday,Light,Standard,347
Begumpet,Miyapur,14.94,41,Afternoon,16,Cloudy,Weekday,Moderate,Economy,249
Botanical Garden,Lakdikapul,11.0,49,Evening,19,Clear,Weekend,Heavy,Standard,373
Botanical Garden,Dilsukhnagar,21.9,58,Afternoon,13,Clear,Weekend,Moderate,Premium,584
Gachibowli,Madhapur,6.04,15,Morning,6,Cloudy,Weekday,Light,Economy,107
Koti,Lakdikapul,4.68,16,Morning,7,Clear,Weekday,Moderate,Premium,178
Secunderabad,Madhapur,14.7,30,Afternoon,16,Rainy,Weekday,Light,Premium,365
Abids,Tank Bund,4.43,16,Afternoon,16,Cloudy,Weekend,Moderate,Economy,117
Tank Bund,Begumpet,3.41,11,Morning,8,Cloudy,Weekend,Light,Economy,94
Abids,Lingampally,26.08,68,Afternoon,14,Cloudy,Weekday,Moderate,Economy,417
Kukatpally,Botanical Garden,5.28,26,Morning,7,Cloudy,Weekday,Heavy,Economy,161
Inorbit Mall,KPHB,8.45,19,Morning,6,Cloudy,Weekday,Light,Premium,216
Mehdipatnam,Dilsukhnagar,12.21,54,Afternoon,14,Clear,Weekend,Heavy,Standard,330
Koti,Lingampally,27.39,52,Evening,20,Clear,Weekend,Light,Economy,366
Botanical Garden,Banjara Hills,7.52,35,Evening,17,Rainy,Weekday,Heavy,Standard,319
Secunderabad,Kukatpally,13.95,29,Morning,11,Cloudy,Weekday,Light,Economy,207
Begumpet,Gachibowli,15.58,42,Evening,20,Clear,Weekend,Moderate,Economy,289
Financial District,Uppal,29.75,124,Morning,9,Thunderstorm,Weekday,Heavy,Economy,992
LB Nagar,Inorbit Mall,26.44,50,Night,4,Clear,Weekday,Light,Economy,421
Kukatpally,Begumpet,9.38,43,Night,3,Rainy,Weekday,Heavy,Premium,480
Film Nagar,Miyapur,14.61,63,Morning,11,Clear,Weekend,Heavy,Economy,321
Lakdikapul,Madhapur,10.61,47,Morning,9,Clear,Weekday,Heavy,Standard,315
Film Nagar,Koti,9.48,28,Morning,6,Cloudy,Weekday,Moderate,Premium,278
Tank Bund,Abids,4.43,13,Morning,10,Clear,Weekday,Light,Standard,93
Abids,LB Nagar,12.88,57,Evening,19,Thunderstorm,Weekday,Heavy,Economy,484
Financial District,Golconda Fort,9.17,21,Night,4,Clear,Weekday,Light,Premium,243
Botanical Garden,Begumpet,9.69,22,Night,21,Clear,Weekday,Light,Premium,218
Kukatpally,Golconda Fort,14.72,30,Morning,7,Rainy,Weekend,Light,Standard,398
Lakdikapul,Financial District,15.35,31,Evening,20,Clear,Weekday,Light,Standard,239
Film Nagar,Uppal,19.54,52,Morning,5,Clear,Weekday,Moderate,Premium,451
Uppal,Kukatpally,23.61,45,Afternoon,14,Clear,Weekday,Light,Standard,360
KPHB,Film Nagar,12.47,26,Afternoon,16,Rainy,Weekday,Light,Premium,318
Dilsukhnagar,Banjara Hills,14.59,40,Evening,18,Clear,Weekday,Moderate,Economy,313
Kukatpally,Mehdipatnam,13.72,29,Afternoon,13,Clear,Weekday,Light,Economy,189
Koti,Miyapur,22.74,44,Morning,5,Thunderstorm,Weekend,Light,Standard,532
Ameerpet,Charminar,11.62,33,Morning,6,Clear,Weekday,Moderate,Premium,312
LB Nagar,Charminar,11.28,24,Afternoon,14,Clear,Weekend,Light,Standard,213
Inorbit Mall,Paradise Circle,14.87,30,Morning,6,Cloudy,Weekday,Light,Economy,217
Jubilee Hills,Lakdikapul,7.06,33,Night,1,Cloudy,Weekday,Heavy,Economy,210
Paradise Circle,Madhapur,14.19,29,Afternoon,16,Clear,Weekday,Light,Standard,227
Financial District,Lingampally,11.72,25,Morning,11,Clear,Weekday,Light,Premium,261
Koti,Banjara Hills,8.2,38,Evening,19,Clear,Weekday,Heavy,Economy,241
Gachibowli,Kukatpally,10.5,23,Morning,10,Clear,Weekend,Light,Premium,261
Uppal,Jubilee Hills,21.06,41,Night,22,Clear,Weekday,Light,Premium,495
Shamshabad Airport,Koti,21.66,92,Morning,6,Clear,Weekend,Heavy,Economy,480
Banjara Hills,Paradise Circle,9.57,43,Morning,7,Clear,Weekday,Heavy,Economy,251
Shamshabad Airport,Jubilee Hills,26.72,69,Evening,17,Clear,Weekday,Moderate,Premium,842
Mehdipatnam,Paradise Circle,10.08,29,Morning,7,Rainy,Weekday,Moderate,Standard,318
Hitech City,Jubilee Hills,5.45,14,Morning,10,Rainy,Weekend,Light,Economy,134
Charminar,Secunderabad,11.78,52,Night,22,Rainy,Weekend,Heavy,Economy,412
Golconda Fort,Kukatpally,14.72,30,Afternoon,14,Clear,Weekday,Light,Economy,193
Golconda Fort,Shamshabad Airport,21.04,89,Night,1,Rainy,Holiday,Heavy,Premium,1140
Kukatpally,KPHB,2.68,16,Morning,11,Clear,Weekend,Heavy,Economy,91
Financial District,Inorbit Mall,6.77,32,Morning,7,Clear,Weekday,Heavy,Premium,303
Mehdipatnam,Charminar,6.74,21,Evening,19,Clear,Weekday,Moderate,Standard,203
